"Label (Grouping)","Lumberton city, North Carolina!!Estimate","Lumberton city, North Carolina!!Margin of Error","Lumberton city, North Carolina!!Percent","Lumberton city, North Carolina!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","8,322","±268","8,322","(X)"
"        Occupied housing units","6,901","±263","82.9%","±1.8"
"        Vacant housing units","1,421","±157","17.1%","±1.8"
"        Homeowner vacancy rate","1.0","±0.6","(X)","(X)"
"        Rental vacancy rate","5.6","±1.4","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","8,322","±268","8,322","(X)"
"        1-unit, detached","5,145","±269","61.8%","±2.8"
"        1-unit, attached","433","±108","5.2%","±1.3"
"        2 units","886","±140","10.6%","±1.6"
"        3 or 4 units","398","±102","4.8%","±1.2"
"        5 to 9 units","593","±188","7.1%","±2.2"
"        10 to 19 units","93","±67","1.1%","±0.8"
"        20 or more units","246","±76","3.0%","±0.9"
"        Mobile home","521","±114","6.3%","±1.4"
"        Boat, RV, van, etc.","7","±10","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","8,322","±268","8,322","(X)"
"        Built 2020 or later","103","±66","1.2%","±0.8"
"        Built 2010 to 2019","574","±153","6.9%","±1.8"
"        Built 2000 to 2009","651","±143","7.8%","±1.7"
"        Built 1990 to 1999","728","±166","8.7%","±2.0"
"        Built 1980 to 1989","1,494","±209","18.0%","±2.6"
"        Built 1970 to 1979","1,707","±218","20.5%","±2.5"
"        Built 1960 to 1969","885","±132","10.6%","±1.5"
"        Built 1950 to 1959","1,144","±158","13.7%","±1.8"
"        Built 1940 to 1949","510","±133","6.1%","±1.6"
"        Built 1939 or earlier","526","±98","6.3%","±1.2"
"ROOMS","","","",""
"    Total housing units","8,322","±268","8,322","(X)"
"        1 room","335","±112","4.0%","±1.3"
"        2 rooms","25","±27","0.3%","±0.3"
"        3 rooms","467","±125","5.6%","±1.4"
"        4 rooms","1,824","±222","21.9%","±2.5"
