"Label (Grouping)","Robeson County, North Carolina"
"Total:","116,530"
"    Population of one race:","110,515"
"        White alone","30,041"
"        Black or African American alone","26,424"
"        American Indian and Alaska Native alone","44,871"
"        Asian alone","908"
"        Native Hawaiian and Other Pacific Islander alone","79"
"        Some Other Race alone","8,192"
"    Population of two or more races:","6,015"
"        Population of two races:","5,525"
"            White; Black or African American","653"
"            White; American Indian and Alaska Native","1,977"
"            White; Asian","111"
"            White; Native Hawaiian and Other Pacific Islander","15"
"            White; Some Other Race","1,123"
"            Black or African American; American Indian and Alaska Native","1,127"
"            Black or African American; Asian","19"
"            Black or African American; Native Hawaiian and Other Pacific Islander","8"
"            Black or African American; Some Other Race","147"
"            American Indian and Alaska Native; Asian","53"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","31"
"            American Indian and Alaska Native; Some Other Race","232"
"            Asian; Native Hawaiian and Other Pacific Islander","15"
"            Asian; Some Other Race","10"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"        Population of three races:","422"
"            White; Black or African American; American Indian and Alaska Native","251"
"            White; Black or African American; Asian","12"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","2"
"            White; Black or African American; Some Other Race","21"
"            White; American Indian and Alaska Native; Asian","26"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","10"
"            White; American Indian and Alaska Native; Some Other Race","55"
"            White; Asian; Native Hawaiian and Other Pacific Islander","18"
"            White; Asian; Some Other Race","4"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian","2"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","5"
"            Black or African American; American Indian and Alaska Native; Some Other Race","7"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0"
"            Black or African American; Asian; Some Other Race","0"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","2"
"            American Indian and Alaska Native; Asian; Some Other Race","0"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"        Population of four races:","63"
"            White; Black or African American; American Indian and Alaska Native; Asian","18"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","16"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0"
"            White; Black or African American; Asian; Some Other Race","7"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","4"
"            White; American Indian and Alaska Native; Asian; Some Other Race","10"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"        Population of five races:","5"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","0"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
