"Label (Grouping)","Robeson County, North Carolina!!Occupied housing units!!Estimate","Robeson County, North Carolina!!Occupied housing units!!Margin of Error","Robeson County, North Carolina!!Percent occupied housing units!!Estimate","Robeson County, North Carolina!!Percent occupied housing units!!Margin of Error","Robeson County, North Carolina!!Owner-occupied housing units!!Estimate","Robeson County, North Carolina!!Owner-occupied housing units!!Margin of Error","Robeson County, North Carolina!!Percent owner-occupied housing units!!Estimate","Robeson County, North Carolina!!Percent owner-occupied housing units!!Margin of Error","Robeson County, North Carolina!!Renter-occupied housing units!!Estimate","Robeson County, North Carolina!!Renter-occupied housing units!!Margin of Error","Robeson County, North Carolina!!Percent renter-occupied housing units!!Estimate","Robeson County, North Carolina!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","44,345","±787","44,345","±787","29,538","±1,263","29,538","±1,263","14,807","±1,188","14,807","±1,188"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","3,066","±607","6.9%","±1.4","1,481","±424","5.0%","±1.4","1,585","±501","10.7%","±3.2"
"        $5,000 to $9,999","1,644","±471","3.7%","±1.1","717","±328","2.4%","±1.1","927","±412","6.3%","±2.7"
"        $10,000 to $14,999","3,080","±590","6.9%","±1.3","1,488","±423","5.0%","±1.4","1,592","±372","10.8%","±2.6"
"        $15,000 to $19,999","2,921","±602","6.6%","±1.4","2,029","±508","6.9%","±1.7","892","±400","6.0%","±2.7"
"        $20,000 to $24,999","2,512","±573","5.7%","±1.3","1,413","±421","4.8%","±1.4","1,099","±391","7.4%","±2.5"
"        $25,000 to $34,999","4,379","±878","9.9%","±2.0","2,660","±616","9.0%","±2.0","1,719","±506","11.6%","±3.5"
"        $35,000 to $49,999","6,650","±984","15.0%","±2.2","4,216","±729","14.3%","±2.4","2,434","±651","16.4%","±4.0"
"        $50,000 to $74,999","7,922","±958","17.9%","±2.1","5,574","±807","18.9%","±2.7","2,348","±627","15.9%","±4.0"
"        $75,000 to $99,999","4,722","±854","10.6%","±1.9","3,756","±754","12.7%","±2.5","966","±361","6.5%","±2.4"
"        $100,000 to $149,999","5,143","±833","11.6%","±1.8","4,178","±655","14.1%","±2.0","965","±433","6.5%","±2.9"
"        $150,000 or more","2,306","±532","5.2%","±1.2","2,026","±506","6.9%","±1.7","280","±204","1.9%","±1.4"
"        Median household income (dollars)","45,740","±3,419","45,740","±3,419","54,267","±5,465","54,267","±5,465","31,792","±4,843","31,792","±4,843"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","6,570","±1,069","14.8%","±2.4","5,476","±897","18.5%","±2.9","1,094","±502","7.4%","±3.4"
"        $300 to $499","9,039","±1,147","20.4%","±2.6","7,762","±1,042","26.3%","±3.3","1,277","±376","8.6%","±2.4"
"        $500 to $799","9,519","±1,054","21.5%","±2.4","5,706","±746","19.3%","±2.5","3,813","±758","25.8%","±5.0"
"        $800 to $999","5,556","±806","12.5%","±1.8","2,419","±542","8.2%","±1.8","3,137","±677","21.2%","±4.2"
"        $1,000 to $1,499","7,326","±966","16.5%","±2.2","4,186","±740","14.2%","±2.4","3,140","±621","21.2%","±3.8"
"        $1,500 to $1,999","3,067","±837","6.9%","±1.9","2,413","±720","8.2%","±2.4","654","±303","4.4%","±2.0"
"        $2,000 to $2,499","634","±317","1.4%","±0.7","634","±317","2.1%","±1.1","0","±226","0.0%","±1.4"
"        $2,500 to $2,999","516","±268","1.2%","±0.6","449","±259","1.5%","±0.9","67","±111","0.5%","±0.7"
"        $3,000 or more","673","±344","1.5%","±0.8","493","±249","1.7%","±0.8","180","±211","1.2%","±1.4"
"        No cash rent","1,445","±530","3.3%","±1.2","(X)","(X)","(X)","(X)","1,445","±530","9.8%","±3.4"
"        Median (dollars)","660","±42","660","±42","559","±41","559","±41","835","±50","835","±50"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Less than $20,000","8,202","±778","18.5%","±1.8","4,728","±775","16.0%","±2.4","3,474","±660","23.5%","±4.3"
"            Less than 20 percent","568","±297","1.3%","±0.7","568","±297","1.9%","±1.0","0","±226","0.0%","±1.4"
"            20 to 29 percent","1,465","±383","3.3%","±0.9","1,074","±295","3.6%","±1.0","391","±221","2.6%","±1.5"
"            30 percent or more","6,169","±773","13.9%","±1.7","3,086","±678","10.4%","±2.2","3,083","±663","20.8%","±4.2"
"        $20,000 to $34,999","6,785","±1,135","15.3%","±2.6","4,073","±765","13.8%","±2.5","2,712","±672","18.3%","±4.5"
"            Less than 20 percent","2,447","±593","5.5%","±1.3","1,975","±540","6.7%","±1.8","472","±272","3.2%","±1.8"
"            20 to 29 percent","1,415","±519","3.2%","±1.2","797","±345","2.7%","±1.2","618","±309","4.2%","±2.1"
"            30 percent or more","2,923","±680","6.6%","±1.5","1,301","±372","4.4%","±1.3","1,622","±537","11.0%","±3.6"
"        $35,000 to $49,999","6,413","±985","14.5%","±2.2","4,216","±729","14.3%","±2.4","2,197","±628","14.8%","±4.0"
