"Label (Grouping)","Robeson County, North Carolina!!Households!!Estimate","Robeson County, North Carolina!!Households!!Margin of Error","Robeson County, North Carolina!!Families!!Estimate","Robeson County, North Carolina!!Families!!Margin of Error","Robeson County, North Carolina!!Married-couple families!!Estimate","Robeson County, North Carolina!!Married-couple families!!Margin of Error","Robeson County, North Carolina!!Nonfamily households!!Estimate","Robeson County, North Carolina!!Nonfamily households!!Margin of Error"
"Total","44,345","±787","29,581","±1,347","16,001","±1,338","14,764","±1,177"
"    Less than $10,000","10.6%","±1.9","7.0%","±1.9","3.8%","±2.0","19.7%","±4.7"
"    $10,000 to $14,999","6.9%","±1.3","2.8%","±1.2","0.8%","±0.8","15.9%","±2.9"
"    $15,000 to $24,999","12.3%","±1.9","7.7%","±1.8","4.3%","±2.0","22.0%","±4.1"
"    $25,000 to $34,999","9.9%","±2.0","11.6%","±2.6","8.8%","±2.9","7.7%","±2.3"
"    $35,000 to $49,999","15.0%","±2.2","15.7%","±2.6","14.0%","±3.2","12.4%","±3.3"
"    $50,000 to $74,999","17.9%","±2.1","19.4%","±2.6","20.3%","±3.7","14.8%","±3.7"
"    $75,000 to $99,999","10.6%","±1.9","13.5%","±2.7","15.1%","±4.0","4.2%","±1.8"
"    $100,000 to $149,999","11.6%","±1.8","15.0%","±2.2","21.3%","±3.3","2.7%","±1.7"
"    $150,000 to $199,999","2.7%","±1.0","3.6%","±1.5","5.5%","±2.3","0.7%","±0.7"
"    $200,000 or more","2.5%","±0.8","3.6%","±1.1","6.0%","±2.0","0.0%","±1.4"
"Median income (dollars)","45,740","±3,419","56,232","±2,751","73,466","±3,025","20,871","±2,632"
"Mean income (dollars)","59,904","±3,949","72,113","±5,489","87,877","±5,392","31,354","±2,411"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","49.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","53.3%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","40.6%","(X)"
