"Label (Grouping)","Robeson County, North Carolina!!Total!!Estimate","Robeson County, North Carolina!!Total!!Margin of Error","Robeson County, North Carolina!!Male!!Estimate","Robeson County, North Carolina!!Male!!Margin of Error","Robeson County, North Carolina!!Percent Male!!Estimate","Robeson County, North Carolina!!Percent Male!!Margin of Error","Robeson County, North Carolina!!Female!!Estimate","Robeson County, North Carolina!!Female!!Margin of Error","Robeson County, North Carolina!!Percent Female!!Estimate","Robeson County, North Carolina!!Percent Female!!Margin of Error"
"Full-time, year-round civilian employed population 16 years and over","33,750","±1,671","18,076","±1,240","53.6%","±2.4","15,674","±1,108","46.4%","±2.4"
"    Agriculture, forestry, fishing and hunting, and mining:","731","±357","731","±357","100.0%","±24.8","0","±226","0.0%","±24.8"
"        Agriculture, forestry, fishing and hunting","731","±357","731","±357","100.0%","±24.8","0","±226","0.0%","±24.8"
"        Mining, quarrying, and oil and gas extraction","0","±226","0","±226","-","**","0","±226","-","**"
"    Construction","4,206","±919","3,841","±872","91.3%","±5.2","365","±229","8.7%","±5.2"
"    Manufacturing","5,553","±1,046","3,947","±823","71.1%","±8.6","1,606","±600","28.9%","±8.6"
"    Wholesale trade","723","±336","348","±194","48.1%","±25.5","375","±290","51.9%","±25.5"
"    Retail trade","2,866","±715","1,708","±501","59.6%","±10.1","1,158","±415","40.4%","±10.1"
"    Transportation and warehousing, and utilities:","2,130","±682","1,443","±507","67.7%","±13.7","687","±386","32.3%","±13.7"
"        Transportation and warehousing","1,330","±491","836","±377","62.9%","±18.7","494","±310","37.1%","±18.7"
"        Utilities","800","±423","607","±388","75.9%","±21.8","193","±180","24.1%","±21.8"
"    Information","496","±273","387","±254","78.0%","±25.4","109","±128","22.0%","±25.4"
"    Finance and insurance, and real estate and rental and leasing:","1,308","±445","335","±210","25.6%","±15.5","973","±409","74.4%","±15.5"
"        Finance and insurance","1,047","±423","192","±167","18.3%","±15.2","855","±388","81.7%","±15.2"
"        Real estate and rental and leasing","261","±180","143","±116","54.8%","±34.4","118","±129","45.2%","±34.4"
"    Professional, scientific, and management, and administrative and waste management services:","2,108","±580","1,271","±452","60.3%","±16.0","837","±410","39.7%","±16.0"
"        Professional, scientific, and technical services","704","±307","375","±234","53.3%","±26.9","329","±245","46.7%","±26.9"
"        Management of companies and enterprises","0","±226","0","±226","-","**","0","±226","-","**"
"        Administrative and support and waste management services","1,404","±481","896","±369","63.8%","±16.9","508","±291","36.2%","±16.9"
"    Educational services, and health care and social assistance:","8,918","±1,022","1,909","±582","21.4%","±5.5","7,009","±845","78.6%","±5.5"
"        Educational services","3,980","±704","1,423","±546","35.8%","±10.8","2,557","±547","64.2%","±10.8"
"        Health care and social assistance","4,938","±765","486","±256","9.8%","±5.1","4,452","±751","90.2%","±5.1"
"    Arts, entertainment, and recreation, and accommodation and food services:","1,746","±712","789","±452","45.2%","±16.0","957","±440","54.8%","±16.0"
"        Arts, entertainment, and recreation","129","±203","0","±226","0.0%","±66.8","129","±203","100.0%","±66.8"
"        Accommodation and food services","1,617","±682","789","±452","48.8%","±15.8","828","±395","51.2%","±15.8"
"    Other services, except public administration","831","±310","424","±236","51.0%","±24.8","407","±277","49.0%","±24.8"
"    Public administration","2,134","±594","943","±331","44.2%","±11.5","1,191","±441","55.8%","±11.5"
