"Label (Grouping)","Robeson County, North Carolina!!Estimate","Robeson County, North Carolina!!Margin of Error"
"Total:","44,345","±787"
"    Owner occupied:","29,538","±1,263"
"        0.50 or less occupants per room","21,935","±1,243"
"        0.51 to 1.00 occupants per room","7,207","±957"
"        1.01 to 1.50 occupants per room","317","±234"
"        1.51 to 2.00 occupants per room","43","±72"
"        2.01 or more occupants per room","36","±62"
"    Renter occupied:","14,807","±1,188"
"        0.50 or less occupants per room","9,557","±1,132"
"        0.51 to 1.00 occupants per room","4,374","±744"
"        1.01 to 1.50 occupants per room","316","±205"
"        1.51 to 2.00 occupants per room","385","±259"
"        2.01 or more occupants per room","175","±175"
