"Label (Grouping)","Robeson County, North Carolina!!Total!!Estimate","Robeson County, North Carolina!!Total!!Margin of Error","Robeson County, North Carolina!!Car, truck, or van -- drove alone!!Estimate","Robeson County, North Carolina!!Car, truck, or van -- drove alone!!Margin of Error","Robeson County, North Carolina!!Car, truck, or van -- carpooled!!Estimate","Robeson County, North Carolina!!Car, truck, or van -- carpooled!!Margin of Error","Robeson County, North Carolina!!Public transportation!!Estimate","Robeson County, North Carolina!!Public transportation!!Margin of Error","Robeson County, North Carolina!!Worked from home!!Estimate","Robeson County, North Carolina!!Worked from home!!Margin of Error"
"Workers 16 years and over","43,882","±1,645","38,004","±1,363","2,817","±781","143","±170","1,660","±472"
"    AGE","","","","","","","","","",""
"        16 to 19 years","3.4%","±1.1","2.8%","±1.1","7.5%","±6.6","0.0%","±63.4","0.0%","±12.0"
"        20 to 24 years","10.8%","±1.4","10.4%","±1.7","13.9%","±9.6","83.2%","±38.7","3.8%","±5.9"
"        25 to 44 years","44.2%","±2.0","44.1%","±2.3","41.1%","±10.4","0.0%","±63.4","58.4%","±14.4"
"        45 to 54 years","20.1%","±1.3","20.1%","±1.7","23.0%","±9.3","0.0%","±63.4","24.9%","±13.0"
"        55 to 59 years","7.6%","±1.5","7.9%","±1.7","9.0%","±6.3","0.0%","±63.4","5.5%","±6.5"
"        60 years and over","13.8%","±1.7","14.7%","±1.9","5.5%","±5.2","16.8%","±38.7","7.4%","±7.7"
"        Median age (years)","42.1","±0.9","42.5","±0.8","40.1","±7.4","23.3","±33.0","37.8","±7.9"
"    SEX","","","","","","","","","",""
"        Male","50.6%","±1.5","50.1%","±2.1","52.2%","±12.0","0.0%","±63.4","63.8%","±13.8"
"        Female","49.4%","±1.5","49.9%","±2.1","47.8%","±12.0","100.0%","±63.4","36.2%","±13.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","24.7%","±2.1","24.7%","±2.4","16.5%","±10.5","46.9%","±53.1","27.0%","±12.9"
"            Black or African American","22.2%","±1.9","20.7%","±2.4","44.2%","±15.7","53.1%","±53.1","20.3%","±16.5"
"            American Indian and Alaska Native","40.4%","±2.4","41.6%","±2.7","27.5%","±11.1","0.0%","±63.4","47.9%","±16.9"
"            Asian","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N"
"            Some other race","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","N","N","N","N","N","N","N","N","N","N"
"        Hispanic or Latino origin (of any race)","10.1%","±1.2","9.3%","±1.3","13.9%","±9.2","0.0%","±63.4","3.4%","±4.2"
"        White alone, not Hispanic or Latino","23.4%","±1.9","23.7%","±2.2","16.5%","±10.5","46.9%","±53.1","27.0%","±12.9"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","",""
"        Native","N","N","N","N","N","N","N","N","N","N"
"        Foreign born","N","N","N","N","N","N","N","N","N","N"
"            Naturalized U.S. citizen","N","N","N","N","N","N","N","N","N","N"
"            Not a U.S. citizen","N","N","N","N","N","N","N","N","N","N"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","","","",""
"        Speak language other than English","N","N","N","N","N","N","N","N","N","N"
"            Speak English ""very well""","N","N","N","N","N","N","N","N","N","N"
"            Speak English less than ""very well""","N","N","N","N","N","N","N","N","N","N"
"EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","","","",""
"    Workers 16 years and over with earnings","43,882","±1,645","38,004","±1,363","2,817","±781","143","±170","1,660","±472"
"        $1 to $9,999 or loss","9.1%","±2.0","7.4%","±1.7","23.1%","±11.9","83.2%","±38.7","12.5%","±12.8"
"        $10,000 to $14,999","5.9%","±1.5","5.7%","±1.6","8.7%","±7.0","0.0%","±63.4","2.4%","±3.8"
"        $15,000 to $24,999","13.5%","±2.1","13.7%","±2.4","14.0%","±7.8","16.8%","±38.7","7.0%","±8.3"
"        $25,000 to $34,999","16.2%","±1.9","16.4%","±2.0","11.8%","±7.4","0.0%","±63.4","20.1%","±11.1"
"        $35,000 to $49,999","22.3%","±2.6","22.7%","±2.8","28.4%","±11.4","0.0%","±63.4","16.4%","±10.3"
"        $50,000 to $64,999","16.0%","±2.3","16.3%","±2.6","10.8%","±9.2","0.0%","±63.4","16.6%","±12.0"
"        $65,000 to $74,999","5.4%","±1.5","5.4%","±1.6","0.3%","±0.5","0.0%","±63.4","7.7%","±8.0"
"        $75,000 or more","11.7%","±1.9","12.4%","±2.3","3.0%","±3.5","0.0%","±63.4","17.3%","±10.5"
"        Median earnings (dollars)","38,920","±2,728","40,221","±2,255","26,527","±11,446","5,728","±9,488","37,217","±14,973"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","N","N","N","N","N","N","N","N","N","N"
"        Below 100 percent of the poverty level","N","N","N","N","N","N","N","N","N","N"
"        100 to 149 percent of the poverty level","N","N","N","N","N","N","N","N","N","N"
"        At or above 150 percent of the poverty level","N","N","N","N","N","N","N","N","N","N"
"Workers 16 years and over","43,882","±1,645","38,004","±1,363","2,817","±781","143","±170","1,660","±472"
"    OCCUPATION","","","","","","","","","",""
"        Management, business, science, and arts occupations","30.3%","±2.8","30.7%","±3.0","19.3%","±10.3","46.9%","±53.1","46.2%","±14.5"
"        Service occupations","16.9%","±2.0","16.6%","±2.2","16.3%","±8.4","53.1%","±53.1","7.4%","±8.6"
"        Sales and office occupations","20.0%","±2.4","19.2%","±2.6","29.8%","±13.0","0.0%","±63.4","29.7%","±15.2"
"        Natural resources, construction, and maintenance occupations","13.6%","±2.2","13.3%","±2.3","16.9%","±10.5","0.0%","±63.4","12.7%","±9.5"
"        Production, transportation, and material moving occupations","19.3%","±2.3","20.1%","±2.5","17.7%","±11.0","0.0%","±63.4","4.0%","±6.1"
"        Military specific occupations","0.0%","±0.5","0.0%","±0.6","0.0%","±7.3","0.0%","±63.4","0.0%","±12.0"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","N","N","N","N","N","N","N","N","N","N"
"        Construction","N","N","N","N","N","N","N","N","N","N"
"        Manufacturing","N","N","N","N","N","N","N","N","N","N"
"        Wholesale trade","N","N","N","N","N","N","N","N","N","N"
"        Retail trade","N","N","N","N","N","N","N","N","N","N"
"        Transportation and warehousing, and utilities","N","N","N","N","N","N","N","N","N","N"
"        Information and finance and insurance, and real estate and rental and leasing","N","N","N","N","N","N","N","N","N","N"
"        Professional, scientific, management, and administrative and waste management services","N","N","N","N","N","N","N","N","N","N"
"        Educational services, and health care and social assistance","N","N","N","N","N","N","N","N","N","N"
"        Arts, entertainment, and recreation, and accommodation and food services","N","N","N","N","N","N","N","N","N","N"
"        Other services (except public administration)","N","N","N","N","N","N","N","N","N","N"
"        Public administration","N","N","N","N","N","N","N","N","N","N"
"        Armed forces","N","N","N","N","N","N","N","N","N","N"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","N","N","N","N","N","N","N","N","N","N"
"        Government workers","N","N","N","N","N","N","N","N","N","N"
"        Self-employed workers in own not incorporated business","N","N","N","N","N","N","N","N","N","N"
"        Unpaid family workers","N","N","N","N","N","N","N","N","N","N"
"    PLACE OF WORK","","","","","","","","","",""
"        Worked in state of residence","97.4%","±0.9","97.2%","±1.0","99.8%","±0.4","100.0%","±63.4","100.0%","±12.0"
"            Worked in county of residence","70.0%","±2.7","68.6%","±3.0","64.4%","±10.7","100.0%","±63.4","100.0%","±12.0"
"            Worked outside county of residence","27.3%","±2.8","28.6%","±3.0","35.4%","±10.7","0.0%","±63.4","(X)","(X)"
"        Worked outside state of residence","2.6%","±0.9","2.8%","±1.0","0.2%","±0.4","0.0%","±63.4","(X)","(X)"
"Workers 16 years and over who did not work from home","N","N","N","N","N","N","N","N","(X)","(X)"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        5:00 a.m. to 5:29 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        5:30 a.m. to 5:59 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        6:00 a.m. to 6:29 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        6:30 a.m. to 6:59 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        7:00 a.m. to 7:29 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        7:30 a.m. to 7:59 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        8:00 a.m. to 8:29 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        8:30 a.m. to 8:59 a.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"        9:00 a.m. to 11:59 p.m.","N","N","N","N","N","N","N","N","(X)","(X)"
"    TRAVEL TIME TO WORK","","","","","","","","","",""
"        Less than 10 minutes","13.6%","±2.2","13.9%","±2.3","1.0%","±1.9","0.0%","±63.4","(X)","(X)"
"        10 to 14 minutes","13.6%","±2.3","13.4%","±2.3","7.0%","±7.2","46.9%","±53.1","(X)","(X)"
"        15 to 19 minutes","18.6%","±2.7","19.5%","±2.8","14.7%","±9.2","36.4%","±63.6","(X)","(X)"
"        20 to 24 minutes","13.8%","±2.6","13.1%","±2.6","21.3%","±10.2","0.0%","±63.4","(X)","(X)"
"        25 to 29 minutes","4.9%","±1.5","5.0%","±1.5","5.4%","±5.9","16.8%","±38.7","(X)","(X)"
"        30 to 34 minutes","12.5%","±2.4","12.2%","±2.4","22.0%","±11.6","0.0%","±63.4","(X)","(X)"
"        35 to 44 minutes","8.0%","±1.7","8.0%","±1.7","8.1%","±7.9","0.0%","±63.4","(X)","(X)"
"        45 to 59 minutes","7.7%","±1.9","7.6%","±1.7","12.9%","±9.8","0.0%","±63.4","(X)","(X)"
"        60 or more minutes","7.2%","±1.6","7.3%","±1.7","7.6%","±6.6","0.0%","±63.4","(X)","(X)"
"        Mean travel time to work (minutes)","25.2","±1.5","25.1","±1.6","30.8","±4.8","14.3","±5.3","(X)","(X)"
"Workers 16 years and over in households","43,314","±1,479","37,824","±1,313","2,783","±781","91","±116","1,660","±472"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","71.7%","±3.4","72.2%","±3.7","65.0%","±12.4","26.4%","±54.8","82.7%","±11.0"
"        Renter-occupied housing units","28.3%","±3.4","27.8%","±3.7","35.0%","±12.4","73.6%","±54.8","17.3%","±11.0"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        No vehicle available","2.5%","±1.0","1.5%","±0.8","13.3%","±9.5","0.0%","±79.5","4.5%","±7.4"
"        1 vehicle available","17.9%","±3.0","17.9%","±3.1","20.4%","±12.9","26.4%","±54.8","12.2%","±10.4"
"        2 vehicles available","38.5%","±4.2","38.0%","±4.1","31.9%","±12.9","73.6%","±54.8","49.3%","±18.4"
"        3 or more vehicles available","41.2%","±3.9","42.6%","±4.3","34.5%","±13.3","0.0%","±79.5","34.0%","±16.2"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Means of transportation to work","9.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","19.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
